"Recipient WHO Region","Core capacity","Core capacity code","Total disbursed (nominal USD)","Year"
wpro,"National Legislation, Policy, and Financing",P.1,2162.74043184945,2000.0
emro,National Laboratory System,D.1,71552.1909045259,2000.0
amro,"National Legislation, Policy, and Financing",P.1,283824.20365478244,2000.0
amro,Preparedness,R.1,272907.88812959846,2000.0
wpro,Unspecified,Unspecified,4342681.473842415,2000.0
amro,Workforce Development,D.4,340974.59227561514,2000.0
euro,Reporting,D.3,8343.3945374757,2000.0
afro,Immunization,P.7,2444917.197596795,2000.0
,Unspecified,Unspecified,21870245.486904167,2000.0
euro,Workforce Development,D.4,566473.9001812107,2000.0
afro,Workforce Development,D.4,383503.53197388817,2000.0
wpro,Zoonotic Disease,P.4,129455.73226465564,2000.0
euro,National Laboratory System,D.1,35480.7545357291,2000.0
amro,Zoonotic Disease,P.4,23470.07837914545,2000.0
euro,Unspecified,Unspecified,3440819.290322477,2000.0
emro,Workforce Development,D.4,204901.82271797728,2000.0
emro,Real Time Surveillance,D.2,45272.14374604285,2000.0
,Reporting,D.3,11462.13130144315,2000.0
afro,National Laboratory System,D.1,155100.10261336595,2000.0
,Workforce Development,D.4,267610.25697006745,2000.0
searo,Unspecified,Unspecified,7693311.290908576,2000.0
searo,Workforce Development,D.4,78496.76877060454,2000.0
,"National Legislation, Policy, and Financing",P.1,35625.4343661537,2000.0
emro,Unspecified,Unspecified,2614601.4235272454,2000.0
afro,"National Legislation, Policy, and Financing",P.1,114485.6150252167,2000.0
amro,Unspecified,Unspecified,7749591.951918435,2000.0
afro,Unspecified,Unspecified,16732634.360961195,2000.0
emro,Real Time Surveillance,D.2,44005.84229668035,2001.0
searo,Immunization,P.7,2405503.0,2001.0
wpro,Workforce Development,D.4,33734.50013459973,2001.0
euro,National Laboratory System,D.1,8802.13572699835,2001.0
afro,Emergency Response Operations,R.2,145090.14934612706,2001.0
afro,Real Time Surveillance,D.2,84045.83730665415,2001.0
,Reporting,D.3,8995.5892594599,2001.0
searo,Workforce Development,D.4,210866.36995679745,2001.0
searo,Unspecified,Unspecified,3004395.352980178,2001.0
afro,National Laboratory System,D.1,67708.73636152595,2001.0
amro,Immunization,P.7,621522.54,2001.0
amro,Workforce Development,D.4,336619.03097879543,2001.0
wpro,Point of Entry (PoE),PoE,6598764.0,2001.0
afro,Immunization,P.7,95305711.32818016,2001.0
afro,Zoonotic Disease,P.4,189262.25957702484,2001.0
emro,Unspecified,Unspecified,1571192.781034358,2001.0
,Workforce Development,D.4,426460.87885939796,2001.0
emro,Workforce Development,D.4,516924.16395434336,2001.0
searo,Point of Entry (PoE),PoE,620503.0,2001.0
,Unspecified,Unspecified,23169301.40726929,2001.0
afro,Workforce Development,D.4,1227263.857781814,2001.0
euro,Point of Entry (PoE),PoE,3378016.0,2001.0
euro,Workforce Development,D.4,1281704.580845944,2001.0
emro,Point of Entry (PoE),PoE,6175231.0,2001.0
afro,Unspecified,Unspecified,16149802.683060946,2001.0
,Immunization,P.7,38690.706492300546,2001.0
amro,Unspecified,Unspecified,6015423.307660333,2001.0
wpro,Zoonotic Disease,P.4,162381.81706327284,2001.0
wpro,Unspecified,Unspecified,4470812.242405624,2001.0
wpro,"National Legislation, Policy, and Financing",P.1,1160721.1947690165,2001.0
emro,Immunization,P.7,6622116.115209217,2001.0
wpro,Immunization,P.7,6598764.0,2001.0
amro,Preparedness,R.1,529707.2906851051,2001.0
euro,Immunization,P.7,3534516.0,2001.0
emro,National Laboratory System,D.1,37604.4649075292,2001.0
amro,"National Legislation, Policy, and Financing",P.1,247624.2600589453,2001.0
afro,Point of Entry (PoE),PoE,18904997,2001.0
euro,Unspecified,Unspecified,3611179.745913275,2001.0
afro,Point of Entry (PoE),PoE,18480723,2002.0
emro,Unspecified,Unspecified,3566934.320565803,2002.0
afro,Zoonotic Disease,P.4,271330.3345998622,2002.0
,General IHR Implementation,General IHR,142417386.66666666,2002.0
euro,Point of Entry (PoE),PoE,2868342.83,2002.0
searo,Immunization,P.7,5138687.0,2002.0
afro,Emergency Response Operations,R.2,231457.66896409835,2002.0
afro,Workforce Development,D.4,3275913.8486143304,2002.0
,Workforce Development,D.4,290819.22865354986,2002.0
wpro,Unspecified,Unspecified,7270401.067175184,2002.0
amro,Workforce Development,D.4,155843.45202758315,2002.0
searo,Unspecified,Unspecified,6196363.750646349,2002.0
searo,Point of Entry (PoE),PoE,4786387.0,2002.0
amro,Unspecified,Unspecified,5878775.684559022,2002.0
afro,Real Time Surveillance,D.2,133792.04892966364,2002.0
euro,Immunization,P.7,3041842.83,2002.0
,National Laboratory System,D.1,154305.1126427322,2002.0
wpro,Zoonotic Disease,P.4,84878.94293089329,2002.0
,Reporting,D.3,1623866.32492584,2002.0
wpro,Reporting,D.3,11011442.878603138,2002.0
wpro,Workforce Development,D.4,132913.03950757845,2002.0
euro,Reporting,D.3,838882.5568957134,2002.0
searo,Workforce Development,D.4,412007.2478234764,2002.0
wpro,Point of Entry (PoE),PoE,7222034.0,2002.0
,Unspecified,Unspecified,28992265.377585385,2002.0
afro,Reporting,D.3,33640754.9592884,2002.0
emro,Immunization,P.7,8552724.421077393,2002.0
wpro,"National Legislation, Policy, and Financing",P.1,226619.16977684127,2002.0
afro,Immunization,P.7,52026624.480232,2002.0
,Immunization,P.7,200596.64643555184,2002.0
amro,Immunization,P.7,573919.0,2002.0
emro,Real Time Surveillance,D.2,132802.02654047936,2002.0
afro,Unspecified,Unspecified,24346951.846830033,2002.0
euro,Workforce Development,D.4,742454.9152961412,2002.0
wpro,Immunization,P.7,7914134.0,2002.0
emro,Point of Entry (PoE),PoE,3240777.0,2002.0
emro,Workforce Development,D.4,833360.018719592,2002.0
afro,National Laboratory System,D.1,100783.72149223895,2002.0
searo,Reporting,D.3,235941.02284318925,2002.0
afro,"National Legislation, Policy, and Financing",P.1,898521.8936590443,2002.0
euro,Unspecified,Unspecified,2250335.9735172777,2002.0
,Point of Entry (PoE),PoE,1462796.4434264558,2003.0
afro,Zoonotic Disease,P.4,1117500.6993117223,2003.0
afro,National Laboratory System,D.1,15473.93570270235,2003.0
,General IHR Implementation,General IHR,171380248.8888889,2003.0
afro,Real Time Surveillance,D.2,2107163.7707397556,2003.0
afro,"National Legislation, Policy, and Financing",P.1,1927672.3621918284,2003.0
amro,"National Legislation, Policy, and Financing",P.1,79087.0,2003.0
wpro,Workforce Development,D.4,146508.30861625238,2003.0
,Workforce Development,D.4,296242.7317883366,2003.0
afro,Point of Entry (PoE),PoE,25225379.342377424,2003.0
amro,Workforce Development,D.4,540363.6298490821,2003.0
searo,Workforce Development,D.4,572143.6414245582,2003.0
euro,Workforce Development,D.4,758492.2128669492,2003.0
emro,Workforce Development,D.4,921152.4972231971,2003.0
afro,Workforce Development,D.4,8137978.476328608,2003.0
,National Laboratory System,D.1,191232.46060335974,2003.0
searo,Point of Entry (PoE),PoE,9060729.0,2003.0
wpro,Point of Entry (PoE),PoE,7175952.22,2003.0
wpro,Zoonotic Disease,P.4,179666.2463582104,2003.0
emro,Unspecified,Unspecified,13809802.156607607,2003.0
euro,Unspecified,Unspecified,27076121.82225703,2003.0
searo,Unspecified,Unspecified,32529877.002873983,2003.0
wpro,Unspecified,Unspecified,34831272.14724889,2003.0
amro,Unspecified,Unspecified,42533605.4096999,2003.0
,Unspecified,Unspecified,82049078.69336414,2003.0
afro,Unspecified,Unspecified,152482621.21106815,2003.0
amro,Immunization,P.7,1189447.191713228,2003.0
euro,Immunization,P.7,1785182.4072377426,2003.0
,Immunization,P.7,1957962.3859129318,2003.0
emro,Point of Entry (PoE),PoE,2880986.0,2003.0
euro,National Laboratory System,D.1,41069.1251655711,2003.0
afro,Emergency Response Operations,R.2,6760688.1615573615,2003.0
wpro,Immunization,P.7,7868052.22,2003.0
emro,Immunization,P.7,9578793.67354202,2003.0
searo,Immunization,P.7,13151129,2003.0
emro,Emergency Response Operations,R.2,484319.65596817643,2003.0
amro,Reporting,D.3,120128.14735238458,2003.0
euro,Reporting,D.3,492621.74968818674,2003.0
searo,Reporting,D.3,584798.1043608384,2003.0
amro,Zoonotic Disease,P.4,761873.1476179459,2003.0
wpro,Reporting,D.3,2813421.16525308,2003.0
euro,Point of Entry (PoE),PoE,1455182.4072377426,2003.0
,Reporting,D.3,3499703.2589669023,2003.0
emro,Reporting,D.3,13128131.855377914,2003.0
afro,Reporting,D.3,30930053.114518274,2003.0
amro,Point of Entry (PoE),PoE,731398.2217132279,2003.0
afro,Immunization,P.7,93014133.51312393,2003.0
afro,Food Safety,P.5,207394.06306461067,2004.0
afro,Reporting,D.3,60281972.020572044,2004.0
euro,Workforce Development,D.4,1269118.459821671,2004.0
afro,Preparedness,R.1,349654.0,2004.0
afro,Real Time Surveillance,D.2,7865515.8178887945,2004.0
searo,"National Legislation, Policy, and Financing",P.1,225531.00000000003,2004.0
afro,"National Legislation, Policy, and Financing",P.1,6054177.695710322,2004.0
,Point of Entry (PoE),PoE,1575235.869835961,2004.0
afro,Unspecified,Unspecified,380948750.4543743,2004.0
,Unspecified,Unspecified,94510335.99486645,2004.0
,Immunization,P.7,3185636.387306574,2004.0
searo,Workforce Development,D.4,1237714.9054395908,2004.0
searo,Unspecified,Unspecified,95516003.46738385,2004.0
,General IHR Implementation,General IHR,188003831.1111111,2004.0
,Emergency Response Operations,R.2,792218.9905878466,2004.0
,Antimicrobial Resistance (AMR),P.3,34032.1263272529,2004.0
amro,Immunization,P.7,4066255.1210858277,2004.0
emro,Emergency Response Operations,R.2,1180309.4031117656,2004.0
afro,Zoonotic Disease,P.4,1387852.1970127309,2004.0
searo,Immunization,P.7,17556226.490000002,2004.0
,Real Time Surveillance,D.2,1104418.484743974,2004.0
,Preparedness,R.1,1065886.496234566,2004.0
euro,Linking Public Health and Security Authorities,R.3,68064.25265450585,2004.0
,Workforce Development,D.4,745049.606508167,2004.0
afro,Emergency Response Operations,R.2,3165708.917491831,2004.0
wpro,Workforce Development,D.4,617456.6973748445,2004.0
emro,Immunization,P.7,12080321.04471916,2004.0
wpro,Immunization,P.7,7070959.26,2004.0
afro,Immunization,P.7,71417309.87125517,2004.0
afro,Workforce Development,D.4,14598542.947492084,2004.0
euro,National Laboratory System,D.1,1044702.9502498338,2004.0
amro,Unspecified,Unspecified,111428850.84072906,2004.0
searo,Point of Entry (PoE),PoE,10127555.100000001,2004.0
wpro,Point of Entry (PoE),PoE,5944559.26,2004.0
emro,Point of Entry (PoE),PoE,2903318.0999999996,2004.0
,National Laboratory System,D.1,204192.75796351756,2004.0
wpro,Zoonotic Disease,P.4,125069.30077313597,2004.0
emro,Unspecified,Unspecified,34561100.66676684,2004.0
emro,Reporting,D.3,31298138.74276559,2004.0
emro,Workforce Development,D.4,1475228.126192244,2004.0
amro,Point of Entry (PoE),PoE,787617.9349179805,2004.0
wpro,Reporting,D.3,12923780.845825015,2004.0
afro,Point of Entry (PoE),PoE,16148910.500931766,2004.0
,Reporting,D.3,8732448.689327488,2004.0
afro,Antimicrobial Resistance (AMR),P.3,488405.0,2004.0
amro,Zoonotic Disease,P.4,410217.67443644814,2004.0
amro,Workforce Development,D.4,1376473.364775836,2004.0
euro,Point of Entry (PoE),PoE,1096763.401639327,2004.0
amro,Reporting,D.3,1767291.7259805808,2004.0
euro,Unspecified,Unspecified,66299434.93695907,2004.0
euro,Immunization,P.7,1682123.4016393265,2004.0
wpro,Unspecified,Unspecified,68837557.60954493,2004.0
searo,Reporting,D.3,475744.90728571324,2004.0
euro,Reporting,D.3,350134.82495658076,2004.0
searo,National Laboratory System,D.1,66430.71059079775,2004.0
searo,"National Legislation, Policy, and Financing",P.1,372609.00000000006,2005.0
searo,Immunization,P.7,46475661.64000001,2005.0
wpro,Workforce Development,D.4,1906249.8163518766,2005.0
euro,Workforce Development,D.4,855680.2860149744,2005.0
,Workforce Development,D.4,462499.06321931374,2005.0
emro,Real Time Surveillance,D.2,726844.0830535402,2005.0
emro,Unspecified,Unspecified,64065770.36720129,2005.0
,Antimicrobial Resistance (AMR),P.3,33456.4530806702,2005.0
euro,Unspecified,Unspecified,95285547.86294812,2005.0
afro,Antimicrobial Resistance (AMR),P.3,328424.0,2005.0
searo,Unspecified,Unspecified,101640167.48155792,2005.0
amro,National Laboratory System,D.1,814898.9498550204,2005.0
wpro,Unspecified,Unspecified,105810571.36538132,2005.0
euro,Real Time Surveillance,D.2,450290.0,2005.0
wpro,Zoonotic Disease,P.4,185005.84826814046,2005.0
,Unspecified,Unspecified,152994643.7392216,2005.0
euro,Antimicrobial Resistance (AMR),P.3,401477.4369680424,2005.0
amro,Unspecified,Unspecified,180450629.26257518,2005.0
afro,National Laboratory System,D.1,2413959.0818679547,2005.0
searo,Point of Entry (PoE),PoE,27202894.930061307,2005.0
searo,Reporting,D.3,68727009.32636891,2005.0
emro,"National Legislation, Policy, and Financing",P.1,103919.9844234621,2005.0
,Zoonotic Disease,P.4,42187.58957130197,2005.0
afro,Emergency Response Operations,R.2,21066039.205595713,2005.0
amro,"National Legislation, Policy, and Financing",P.1,354140.83225126134,2005.0
,Immunization,P.7,3257479.6408339483,2005.0
euro,Immunization,P.7,3731092.162669,2005.0
afro,Unspecified,Unspecified,700939276.3007865,2005.0
euro,Linking Public Health and Security Authorities,R.3,48846.4214977785,2005.0
euro,National Laboratory System,D.1,848303.7358604732,2005.0
afro,Reporting,D.3,106328423.33664069,2005.0
afro,Zoonotic Disease,P.4,820661.4107957723,2005.0
,Real Time Surveillance,D.2,1297014.3963446957,2005.0
wpro,Immunization,P.7,14769206.17,2005.0
,"National Legislation, Policy, and Financing",P.1,1965167.3797806466,2005.0
amro,Emergency Response Operations,R.2,1721708.8916812493,2005.0
emro,Immunization,P.7,20705767.940224513,2005.0
emro,Emergency Response Operations,R.2,931676.0712345997,2005.0
amro,Immunization,P.7,21735146.82593606,2005.0
,Point of Entry (PoE),PoE,1652840.536013999,2005.0
,General IHR Implementation,General IHR,188341262.2222222,2005.0
euro,Emergency Response Operations,R.2,119865.0,2005.0
afro,Medical Countermeasures and Personnel Deployment,R.4,172170.88916812494,2005.0
afro,"National Legislation, Policy, and Financing",P.1,7061881.7847135505,2005.0
amro,Reporting,D.3,181429.88096323478,2005.0
euro,Reporting,D.3,668028.3833618754,2005.0
afro,Real Time Surveillance,D.2,20193945.286362052,2005.0
amro,Zoonotic Disease,P.4,925299.7334989653,2005.0
afro,Immunization,P.7,219828792.9535987,2005.0
amro,Point of Entry (PoE),PoE,826420.2680069995,2005.0
,Reporting,D.3,8414454.034026392,2005.0
afro,Preparedness,R.1,1370770.0,2005.0
wpro,Reporting,D.3,13347059.878915582,2005.0
emro,Reporting,D.3,24283938.703774333,2005.0
,Preparedness,R.1,1068044.1078059506,2005.0
afro,Food Safety,P.5,579798.0013114929,2005.0
wpro,Biosafety and Biosecurity,P.6,39672.1936727156,2005.0
searo,National Laboratory System,D.1,126802.7561426048,2005.0
euro,Point of Entry (PoE),PoE,3810215.9781837515,2005.0
emro,Point of Entry (PoE),PoE,8056415.050000001,2005.0
afro,Workforce Development,D.4,36238096.95198815,2005.0
searo,Workforce Development,D.4,29656561.027423475,2005.0
wpro,Point of Entry (PoE),PoE,13828756.53,2005.0
amro,Workforce Development,D.4,11145858.05061861,2005.0
,National Laboratory System,D.1,200738.7184840212,2005.0
afro,Point of Entry (PoE),PoE,21633147.910498578,2005.0
emro,Workforce Development,D.4,4715364.942818804,2005.0
,Unspecified,Unspecified,133430788.69313364,2006.0
euro,"National Legislation, Policy, and Financing",P.1,3808293.6439751,2006.0
searo,National Laboratory System,D.1,57705.3015610378,2006.0
afro,Workforce Development,D.4,43764744.32470045,2006.0
emro,Reporting,D.3,71067152.63006252,2006.0
wpro,Immunization,P.7,2921494.5300000003,2006.0
afro,Point of Entry (PoE),PoE,20436031.122137822,2006.0
euro,Immunization,P.7,2046991.463444182,2006.0
,Real Time Surveillance,D.2,108172.82168679721,2006.0
emro,National Laboratory System,D.1,661187.2820602169,2006.0
afro,Preparedness,R.1,2807184.213099173,2006.0
afro,Immunization,P.7,132393857.22820316,2006.0
euro,Workforce Development,D.4,8454602.756446416,2006.0
searo,Real Time Surveillance,D.2,10714285.714285716,2006.0
emro,Unspecified,Unspecified,120606829.63043518,2006.0
amro,Reporting,D.3,1492144.3091231922,2006.0
afro,"National Legislation, Policy, and Financing",P.1,18802207.46979409,2006.0
searo,Unspecified,Unspecified,237665164.5490828,2006.0
,National Laboratory System,D.1,4886456.236089345,2006.0
afro,Medical Countermeasures and Personnel Deployment,R.4,70524.7311244626,2006.0
amro,Zoonotic Disease,P.4,1797043.5706831613,2006.0
wpro,Workforce Development,D.4,4606972.520726895,2006.0
amro,Point of Entry (PoE),PoE,292487.56033254584,2006.0
afro,Food Safety,P.5,403308.2226444436,2006.0
afro,Antimicrobial Resistance (AMR),P.3,1038573.0,2006.0
emro,Immunization,P.7,37252511.00454671,2006.0
euro,Reporting,D.3,6500646.984358637,2006.0
afro,Zoonotic Disease,P.4,3164698.4760591327,2006.0
,Point of Entry (PoE),PoE,584975.1206650917,2006.0
,Antimicrobial Resistance (AMR),P.3,406873.44879497646,2006.0
afro,Real Time Surveillance,D.2,23862166.74098985,2006.0
euro,Antimicrobial Resistance (AMR),P.3,406873.44879497646,2006.0
searo,Point of Entry (PoE),PoE,17079138.840061303,2006.0
emro,Real Time Surveillance,D.2,820329.3463743931,2006.0
wpro,Reporting,D.3,15348584.756804481,2006.0
searo,"National Legislation, Policy, and Financing",P.1,991262.0776644278,2006.0
searo,Reporting,D.3,78039465.26700307,2006.0
wpro,Point of Entry (PoE),PoE,2232192.77,2006.0
afro,Unspecified,Unspecified,895182871.3434879,2006.0
amro,Unspecified,Unspecified,165243599.56163135,2006.0
,Reporting,D.3,50552156.55452043,2006.0
euro,National Laboratory System,D.1,1585414.0018606205,2006.0
amro,Workforce Development,D.4,13496457.33903935,2006.0
afro,Linking Public Health and Security Authorities,R.3,176311.82781115646,2006.0
euro,Unspecified,Unspecified,153162393.95850685,2006.0
afro,Emergency Response Operations,R.2,14828712.05696869,2006.0
amro,Emergency Response Operations,R.2,1738462.9834832198,2006.0
emro,Point of Entry (PoE),PoE,22753422.130000003,2006.0
searo,Immunization,P.7,43263751.11653747,2006.0
searo,Zoonotic Disease,P.4,6257874.0,2006.0
,General IHR Implementation,General IHR,189843306.66666666,2006.0
euro,Point of Entry (PoE),PoE,1880491.463444182,2006.0
emro,Workforce Development,D.4,3438639.5982153397,2006.0
euro,Emergency Response Operations,R.2,1049863.1390557825,2006.0
wpro,Zoonotic Disease,P.4,7038675.308484309,2006.0
searo,Workforce Development,D.4,11541408.998024413,2006.0
wpro,Unspecified,Unspecified,141469587.71116272,2006.0
,Workforce Development,D.4,2686747.8422170486,2006.0
,Zoonotic Disease,P.4,19112561.416319285,2006.0
,Immunization,P.7,25139984.827010326,2006.0
emro,Emergency Response Operations,R.2,595586.4545247216,2006.0
amro,Immunization,P.7,26497399.234600183,2006.0
afro,Reporting,D.3,187712422.82536745,2006.0
,Preparedness,R.1,15594452.123007368,2006.0
amro,National Laboratory System,D.1,267462.32791014516,2006.0
amro,Food Safety,P.5,18399.09247580787,2006.0
searo,Food Safety,P.5,32498.61781472731,2006.0
amro,"National Legislation, Policy, and Financing",P.1,2196561.0,2006.0
afro,National Laboratory System,D.1,5622084.989124754,2006.0
euro,Real Time Surveillance,D.2,1359034.0,2006.0
wpro,Food Safety,P.5,73596.36990323148,2006.0
afro,Linking Public Health and Security Authorities,R.3,884499.1238525237,2007.0
euro,National Laboratory System,D.1,1993448.229694341,2007.0
emro,National Laboratory System,D.1,2046872.7543063837,2007.0
wpro,National Laboratory System,D.1,3961535.357791848,2007.0
afro,National Laboratory System,D.1,33240580.607883725,2007.0
,National Laboratory System,D.1,40046638.31985006,2007.0
,Antimicrobial Resistance (AMR),P.3,30915413.09581946,2007.0
searo,Zoonotic Disease,P.4,13014130.396800814,2007.0
,Zoonotic Disease,P.4,34976683.662617765,2007.0
emro,Antimicrobial Resistance (AMR),P.3,2829857.0,2007.0
wpro,Antimicrobial Resistance (AMR),P.3,1396214.0,2007.0
euro,Antimicrobial Resistance (AMR),P.3,369959.3044765076,2007.0
emro,Workforce Development,D.4,6786035.32145487,2007.0
euro,Workforce Development,D.4,7996254.672690725,2007.0
wpro,Workforce Development,D.4,8189928.140846409,2007.0
,Workforce Development,D.4,11039568.928030107,2007.0
amro,Workforce Development,D.4,17453966.511425406,2007.0
searo,Workforce Development,D.4,95789837.06867377,2007.0
afro,Workforce Development,D.4,118948615.48860581,2007.0
wpro,Biosafety and Biosecurity,P.6,168960.4883462819,2007.0
emro,Unspecified,Unspecified,97110282.92444564,2007.0
euro,Unspecified,Unspecified,222725121.87933606,2007.0
amro,Unspecified,Unspecified,242677032.41752702,2007.0
wpro,Unspecified,Unspecified,265701976.89952132,2007.0
searo,Unspecified,Unspecified,301300123.2683644,2007.0
afro,Emergency Response Operations,R.2,22834657.826151453,2007.0
euro,Emergency Response Operations,R.2,20955402.35701073,2007.0
,Unspecified,Unspecified,407329811.8854787,2007.0
afro,Unspecified,Unspecified,1286478701.8015141,2007.0
,Emergency Response Operations,R.2,1568643.8047642736,2007.0
amro,Emergency Response Operations,R.2,1496766.713573712,2007.0
emro,Emergency Response Operations,R.2,13697.808613505898,2007.0
amro,Reporting,D.3,1351075.0929449897,2007.0
euro,Reporting,D.3,5531963.468563598,2007.0
wpro,Reporting,D.3,38223869.55411354,2007.0
emro,Reporting,D.3,54420223.14853537,2007.0
,Reporting,D.3,64435986.83130564,2007.0
searo,Reporting,D.3,272177286.4470339,2007.0
afro,Reporting,D.3,273857151.8538385,2007.0
afro,Food Safety,P.5,1938187.1554135198,2007.0
amro,Real Time Surveillance,D.2,289374.8979575843,2007.0
wpro,Food Safety,P.5,341975.73105806403,2007.0
searo,Food Safety,P.5,168857.38572390593,2007.0
amro,Food Safety,P.5,85493.93276451602,2007.0
euro,Food Safety,P.5,80434.83002364544,2007.0
wpro,Zoonotic Disease,P.4,1379577.3992338574,2007.0
,General IHR Implementation,General IHR,207084480,2007.0
emro,Real Time Surveillance,D.2,1227275.0,2007.0
wpro,Real Time Surveillance,D.2,2496214.0,2007.0
euro,Real Time Surveillance,D.2,3036335.8979575844,2007.0
,Real Time Surveillance,D.2,9722436.314859087,2007.0
searo,Real Time Surveillance,D.2,17030873.571428575,2007.0
afro,Real Time Surveillance,D.2,31851928.253794465,2007.0
euro,Radiation Emergencies,RE,77104.0097762345,2007.0
afro,Immunization,P.7,337435624.23267,2007.0
afro,Preparedness,R.1,2553987.8276845496,2007.0
,Immunization,P.7,78887601.32304016,2007.0
searo,Preparedness,R.1,7137686.396800814,2007.0
amro,Immunization,P.7,64351086.25125529,2007.0
,Preparedness,R.1,30368786.9558782,2007.0
emro,Immunization,P.7,53216436.99227924,2007.0
searo,Immunization,P.7,47680285.9073171,2007.0
amro,Zoonotic Disease,P.4,2384848.2969607813,2007.0
afro,Zoonotic Disease,P.4,2983622.661017489,2007.0
euro,Immunization,P.7,30967932.16554051,2007.0
euro,Point of Entry (PoE),PoE,1567403.4887110302,2007.0
euro,Zoonotic Disease,P.4,3034150.565900932,2007.0
wpro,Immunization,P.7,10823800.427791849,2007.0
wpro,Point of Entry (PoE),PoE,3289130.4000000004,2007.0
amro,Point of Entry (PoE),PoE,4605052.255428454,2007.0
,Point of Entry (PoE),PoE,6186472.195121713,2007.0
afro,Point of Entry (PoE),PoE,17287831.517544366,2007.0
searo,Point of Entry (PoE),PoE,20394628.931198023,2007.0
emro,Point of Entry (PoE),PoE,23561674.4,2007.0
wpro,"National Legislation, Policy, and Financing",P.1,116588.76516817488,2007.0
,"National Legislation, Policy, and Financing",P.1,1711061.7832038477,2007.0
