Core capacity,Core capacity code,Year,Amount disbursed for year for capacity (nominal USD),Total disbursed post-2013 for capacity (nominal USD),Percentage of total distributed to this capacity in year
"National Legislation, Policy, and Financing",P.1,2018,2663027682.6336546,22897043844.022682,11.63
"National Legislation, Policy, and Financing",P.1,2019,3599850224.6857204,22897043844.022682,15.72
"National Legislation, Policy, and Financing",P.1,2020,3674054077.5343847,22897043844.022682,16.05
"National Legislation, Policy, and Financing",P.1,2021,2223416422.4387717,22897043844.022682,9.71
"National Legislation, Policy, and Financing",P.1,2022,37554265.28105529,22897043844.022682,0.16
Point of Entry (PoE),PoE,2014,122719573.50114566,3346384453.372094,3.67
Point of Entry (PoE),PoE,2015,235230334.5907454,3346384453.372094,7.03
Point of Entry (PoE),PoE,2016,305158665.61177033,3346384453.372094,9.12
Point of Entry (PoE),PoE,2017,394847649.30718535,3346384453.372094,11.80
Point of Entry (PoE),PoE,2018,493044936.91778815,3346384453.372094,14.73
Point of Entry (PoE),PoE,2019,548709151.924809,3346384453.372094,16.40
Point of Entry (PoE),PoE,2020,821214057.7526901,3346384453.372094,24.54
Point of Entry (PoE),PoE,2021,422931141.23692685,3346384453.372094,12.64
Point of Entry (PoE),PoE,2022,2528942.5290339324,3346384453.372094,0.08
Preparedness,R.1,2014,270200719.3219725,6178731894.447568,4.37
Preparedness,R.1,2015,256210242.83794802,6178731894.447568,4.15
Preparedness,R.1,2016,433338792.9558219,6178731894.447568,7.01
Preparedness,R.1,2017,1072092039.655874,6178731894.447568,17.35
Preparedness,R.1,2018,693578799.7327185,6178731894.447568,11.23
Preparedness,R.1,2019,1045382416.3422894,6178731894.447568,16.92
Preparedness,R.1,2020,1092349346.757042,6178731894.447568,17.68
Preparedness,R.1,2021,1315233136.8958235,6178731894.447568,21.29
Preparedness,R.1,2022,346399.948078207,6178731894.447568,0.01
Radiation Emergencies,RE,2014,7315488.447645846,35168701.29831125,20.80
Radiation Emergencies,RE,2015,3877362.911651214,35168701.29831125,11.03
Radiation Emergencies,RE,2016,5742625.658525543,35168701.29831125,16.33
Radiation Emergencies,RE,2017,2867587.837921015,35168701.29831125,8.15
Radiation Emergencies,RE,2018,3155108.843043075,35168701.29831125,8.97
Radiation Emergencies,RE,2019,1753199.9853384495,35168701.29831125,4.99
Radiation Emergencies,RE,2020,5874307.615936107,35168701.29831125,16.70
Radiation Emergencies,RE,2021,4583019.99825,35168701.29831125,13.03
Real Time Surveillance,D.2,2014,1438959457.6102676,21874012906.017254,6.58
Real Time Surveillance,D.2,2015,1856028216.1440265,21874012906.017254,8.49
Real Time Surveillance,D.2,2016,2202280294.6858306,21874012906.017254,10.07
Real Time Surveillance,D.2,2017,2388763997.225686,21874012906.017254,10.92
Real Time Surveillance,D.2,2018,2708614993.9138317,21874012906.017254,12.38
Real Time Surveillance,D.2,2019,3399977548.3897734,21874012906.017254,15.54
Real Time Surveillance,D.2,2020,4163461667.610182,21874012906.017254,19.03
Real Time Surveillance,D.2,2021,3678366397.5144167,21874012906.017254,16.82
Real Time Surveillance,D.2,2022,37560332.923237726,21874012906.017254,0.17
Reporting,D.3,2014,1613955346.7223296,15358047121.318686,10.51
Reporting,D.3,2015,1439241944.525598,15358047121.318686,9.37
Reporting,D.3,2016,1538718057.818088,15358047121.318686,10.02
Reporting,D.3,2017,1937332419.2062113,15358047121.318686,12.61
Reporting,D.3,2018,1971661729.0064626,15358047121.318686,12.84
Reporting,D.3,2019,2391411292.0049872,15358047121.318686,15.57
Reporting,D.3,2020,2471198785.872409,15358047121.318686,16.09
Reporting,D.3,2021,1960193568.874671,15358047121.318686,12.76
Reporting,D.3,2022,34333977.287928134,15358047121.318686,0.22
Risk Communication,R.5,2014,235390159.84865776,1986405489.3383515,11.85
Risk Communication,R.5,2015,210915743.07189143,1986405489.3383515,10.62
Risk Communication,R.5,2016,227230905.71245286,1986405489.3383515,11.44
Risk Communication,R.5,2017,272155513.10551906,1986405489.3383515,13.70
Risk Communication,R.5,2018,268239614.09761676,1986405489.3383515,13.50
Risk Communication,R.5,2019,263531501.71647173,1986405489.3383515,13.27
Risk Communication,R.5,2020,280971274.4116328,1986405489.3383515,14.14
Risk Communication,R.5,2021,227970777.37410903,1986405489.3383515,11.48
Unspecified,Unspecified,2014,18962653398.52679,150597542092.72583,12.59
Unspecified,Unspecified,2015,16710816919.921736,150597542092.72583,11.10
Unspecified,Unspecified,2016,18662014345.32699,150597542092.72583,12.39
Unspecified,Unspecified,2017,18168901510.86629,150597542092.72583,12.06
Unspecified,Unspecified,2018,16443554076.31502,150597542092.72583,10.92
Unspecified,Unspecified,2019,18518076005.183918,150597542092.72583,12.30
Unspecified,Unspecified,2020,23970173846.030006,150597542092.72583,15.92
Unspecified,Unspecified,2021,19126085566.589207,150597542092.72583,12.70
Unspecified,Unspecified,2022,25366423.965864763,150597542092.72583,0.02
Unspecified,Unspecified,2024,6966666.666666667,150597542092.72583,0.00
Unspecified,Unspecified,2025,2933333.3333333335,150597542092.72583,0.00
Workforce Development,D.4,2014,2964654497.269766,26395889216.94362,11.23
Workforce Development,D.4,2015,2449267198.512571,26395889216.94362,9.28
Workforce Development,D.4,2016,2576312083.1644974,26395889216.94362,9.76
Workforce Development,D.4,2017,3017137497.2550735,26395889216.94362,11.43
Workforce Development,D.4,2018,3429273537.4842567,26395889216.94362,12.99
Workforce Development,D.4,2019,4404979331.392937,26395889216.94362,16.69
Workforce Development,D.4,2020,4350161446.823097,26395889216.94362,16.48
Workforce Development,D.4,2021,3201231351.9421463,26395889216.94362,12.13
Workforce Development,D.4,2022,2872273.0992716667,26395889216.94362,0.01
Zoonotic Disease,P.4,2014,519459640.315544,8294609662.4197,6.26
Zoonotic Disease,P.4,2015,513838915.6137804,8294609662.4197,6.19
Zoonotic Disease,P.4,2016,1122961058.7358499,8294609662.4197,13.54
Zoonotic Disease,P.4,2017,916773128.6836095,8294609662.4197,11.05
Zoonotic Disease,P.4,2018,1094129101.7603748,8294609662.4197,13.19
Zoonotic Disease,P.4,2019,1129976010.485878,8294609662.4197,13.62
Zoonotic Disease,P.4,2020,1508675012.4397454,8294609662.4197,18.19
Zoonotic Disease,P.4,2021,1488034007.843251,8294609662.4197,17.94
Zoonotic Disease,P.4,2022,762786.541666135,8294609662.4197,0.01
