,Funder,Total value,Percent of Total Funding
,Leonard Cheshire Disability,"$287,453.46",0.000
,Conseil et Appui pour l'Education à la Base Mali,"$286,995.68",0.000
,Disability and Development Partners,"$264,804.30",0.000
,ZOA,"$261,854.85",0.000
,UN Foundation,"$258,064.00",0.000
,The Fred Hollows Foundation (UK),"$256,118.42",0.000
,International Service,"$256,040.83",0.000
,Food for the Hungry,"$243,951.93",0.000
,ADRA-UK,"$234,980.82",0.000
,BRAC University,"$210,561.33",0.000
,Worldwide Hospice Palliative Care Alliance,"$204,648.57",0.000
,Elrha,"$201,952.65",0.000
,interburns,"$201,567.59",0.000
,Universiti Malaya,"$199,217.24",0.000
,IOD PARC,"$197,693.39",0.000
,African Initiatives,"$177,632.32",0.000
,Simprints,"$176,553.15",0.000
,Mifumi,"$167,035.14",0.000
,Agency for Cooperation and Research in Development (ACORD),"$164,559.93",0.000
,Women and Children First (UK),"$160,615.00",0.000
,Christian Blind Mission (UK) Ltd.,"$158,174.75",0.000
,Danmission,"$155,817.84",0.000
,Cyan International,"$155,265.46",0.000
,Coffey International Development,"$153,545.83",0.000
,One to One Children's Fund,"$149,143.32",0.000
,Royal National Lifeboat Institution (RNLI),"$144,543.81",0.000
,DeafKidz International,"$144,464.32",0.000
,Project Harar,"$140,720.39",0.000
,TB Alert,"$139,584.15",0.000
,Haiti Hospital Appeal,"$136,141.62",0.000
,Islamic Relief Worldwide,"$134,694.08",0.000
,Relief International UK,"$116,463.70",0.000
,ARK (Absolute Return for Kids),"$111,250.00",0.000
,CUAMM Trustees,"$107,658.14",0.000
,Abaseen Foundation UK,"$102,590.06",0.000
,Digital Campus,"$100,943.15",0.000
,Johns Hopkins University,"$98,829.00",0.000
,Anti-Slavery International,"$89,061.89",0.000
,Slovenia,"$83,344.29",0.000
,Sehat Kahani (Community Innovation Hub),"$76,103.25",0.000
,Feed the Minds,"$73,223.80",0.000
,ChildHope UK,"$69,175.96",0.000
,Joshua Orphan and Community Care,"$59,283.50",0.000
,act4africa,"$57,726.73",0.000
,Bangladesh Nari Progati Sangha,"$55,006.65",0.000
,Russian Federation,"$50,000.00",0.000
,"Medical Research Centre (MRC), Sierra Leone","$49,348.51",0.000
,The Leprosy Mission Nepal,"$45,418.60",0.000
,Timidria,"$45,359.92",0.000
,Child.org,"$40,730.21",0.000
,HealthProm,"$39,895.05",0.000
,China,"$39,350.00",0.000
,International Primary Care Respiratory Group,"$38,822.79",0.000
,Indigo Trust,"$38,151.87",0.000
,World Jewish Relief,"$37,594.57",0.000
,Special Hope Network,"$35,010.70",0.000
,International Procurement Agency,"$28,225.09",0.000
,"The Population Council, Inc.","$25,000.00",0.000
,Centre for Economic Policy Research,"$22,685.49",0.000
,University Putra Malaysia,"$18,595.37",0.000
,kidasha,"$15,853.61",0.000
,Fundación Oriéntame,"$13,920.00",0.000
,Carers Worldwide,"$13,608.55",0.000
,PositiveNegatives,"$11,342.00",0.000
,African Population and Health Research Center,"$10,000.00",0.000
,Institute of Development Studies,"$6,422.98",0.000
,Bangladesh Primary Care Respiratory Society,"$5,617.40",0.000
,Scottish Catholic International Aid Fund (SCIAF),"$1,318.96",0.000
,Development Initiatives Poverty Research,$937.96,0.000
,Diakonia Sweden,$871.94,0.000
,LTS International Limited,$13.49,0.000
,Development Organisation of the Rural Poor,$0.00,0.000
