Core capacity,Core capacity code,Year,Amount disbursed for year for capacity (nominal USD),Total disbursed post-2013 for capacity (nominal USD),Percentage of total distributed to this capacity in year
Linking Public Health and Security Authorities,R.3,2015,37929399.74989124,395215249.464372,9.60
Linking Public Health and Security Authorities,R.3,2016,58558595.74115974,395215249.464372,14.82
Linking Public Health and Security Authorities,R.3,2017,92882148.18754052,395215249.464372,23.50
Linking Public Health and Security Authorities,R.3,2018,57630919.486741036,395215249.464372,14.58
Linking Public Health and Security Authorities,R.3,2019,53937187.40661517,395215249.464372,13.65
Linking Public Health and Security Authorities,R.3,2020,42679455.68364334,395215249.464372,10.80
Linking Public Health and Security Authorities,R.3,2021,21346011.546569318,395215249.464372,5.40
Linking Public Health and Security Authorities,R.3,2022,345660.3382874079,395215249.464372,0.09
Medical Countermeasures and Personnel Deployment,R.4,2014,311589439.40934604,15878097739.802368,1.96
Medical Countermeasures and Personnel Deployment,R.4,2015,207484447.18609253,15878097739.802368,1.31
Medical Countermeasures and Personnel Deployment,R.4,2016,410451467.3337189,15878097739.802368,2.59
Medical Countermeasures and Personnel Deployment,R.4,2017,1873975012.9392986,15878097739.802368,11.80
Medical Countermeasures and Personnel Deployment,R.4,2018,2483961252.62247,15878097739.802368,15.64
Medical Countermeasures and Personnel Deployment,R.4,2019,3106989922.0869627,15878097739.802368,19.57
Medical Countermeasures and Personnel Deployment,R.4,2020,3303233239.7960014,15878097739.802368,20.80
Medical Countermeasures and Personnel Deployment,R.4,2021,4180174436.7337484,15878097739.802368,26.33
Medical Countermeasures and Personnel Deployment,R.4,2022,238521.69472834954,15878097739.802368,0.00
National Laboratory System,D.1,2014,1336442760.7906492,19183721082.37089,6.97
National Laboratory System,D.1,2015,1777492140.3661666,19183721082.37089,9.27
National Laboratory System,D.1,2016,1795229878.4409225,19183721082.37089,9.36
National Laboratory System,D.1,2017,2318549458.121249,19183721082.37089,12.09
National Laboratory System,D.1,2018,1871216803.782666,19183721082.37089,9.75
National Laboratory System,D.1,2019,2933559373.741803,19183721082.37089,15.29
National Laboratory System,D.1,2020,4000397701.496155,19183721082.37089,20.85
National Laboratory System,D.1,2021,3098342049.6819916,19183721082.37089,16.15
National Laboratory System,D.1,2022,52490915.94928831,19183721082.37089,0.27
"National Legislation, Policy, and Financing",P.1,2014,2502147945.1534376,22897043844.022682,10.93
"National Legislation, Policy, and Financing",P.1,2015,2976371779.1425996,22897043844.022682,13.00
"National Legislation, Policy, and Financing",P.1,2016,2680618934.570123,22897043844.022682,11.71
"National Legislation, Policy, and Financing",P.1,2017,2540002512.5829353,22897043844.022682,11.09
"National Legislation, Policy, and Financing",P.1,2018,2663027682.6336546,22897043844.022682,11.63
"National Legislation, Policy, and Financing",P.1,2019,3599850224.6857204,22897043844.022682,15.72
"National Legislation, Policy, and Financing",P.1,2020,3674054077.534384,22897043844.022682,16.05
"National Legislation, Policy, and Financing",P.1,2021,2223416422.4387717,22897043844.022682,9.71
"National Legislation, Policy, and Financing",P.1,2022,37554265.28105529,22897043844.022682,0.16
Point of Entry (PoE),PoE,2014,122719573.50114566,3346384453.372094,3.67
Point of Entry (PoE),PoE,2015,235230334.5907454,3346384453.372094,7.03
Point of Entry (PoE),PoE,2016,305158665.61177015,3346384453.372094,9.12
Point of Entry (PoE),PoE,2017,394847649.3071854,3346384453.372094,11.80
Point of Entry (PoE),PoE,2018,493044936.9177881,3346384453.372094,14.73
Point of Entry (PoE),PoE,2019,548709151.9248091,3346384453.372094,16.40
Point of Entry (PoE),PoE,2020,821214057.7526897,3346384453.372094,24.54
Point of Entry (PoE),PoE,2021,422931141.236927,3346384453.372094,12.64
Point of Entry (PoE),PoE,2022,2528942.5290339324,3346384453.372094,0.08
Preparedness,R.1,2014,390293089.65530586,11326711826.447567,3.45
Preparedness,R.1,2015,281365363.1712814,11326711826.447567,2.48
Preparedness,R.1,2016,439734868.2891552,11326711826.447567,3.88
Preparedness,R.1,2017,1072092039.6558738,11326711826.447567,9.47
Preparedness,R.1,2018,693578799.7327185,11326711826.447567,6.12
Preparedness,R.1,2019,1054002416.342289,11326711826.447567,9.31
Preparedness,R.1,2020,3503021338.757039,11326711826.447567,30.93
Preparedness,R.1,2021,3892277510.8958244,11326711826.447567,34.36
Preparedness,R.1,2022,346399.948078207,11326711826.447567,0.00
Radiation Emergencies,RE,2014,7315488.447645846,35168701.29831125,20.80
Radiation Emergencies,RE,2015,3877362.911651214,35168701.29831125,11.03
Radiation Emergencies,RE,2016,5742625.658525542,35168701.29831125,16.33
Radiation Emergencies,RE,2017,2867587.8379210155,35168701.29831125,8.15
Radiation Emergencies,RE,2018,3155108.843043075,35168701.29831125,8.97
Radiation Emergencies,RE,2019,1753199.9853384495,35168701.29831125,4.99
Radiation Emergencies,RE,2020,5874307.615936108,35168701.29831125,16.70
Radiation Emergencies,RE,2021,4583019.998250001,35168701.29831125,13.03
Real Time Surveillance,D.2,2014,1438959457.6102676,24645328233.617256,5.84
Real Time Surveillance,D.2,2015,1856028216.1440263,24645328233.617256,7.53
Real Time Surveillance,D.2,2016,2202280294.68583,24645328233.617256,8.94
Real Time Surveillance,D.2,2017,2388763997.225686,24645328233.617256,9.69
Real Time Surveillance,D.2,2018,2723614993.9138317,24645328233.617256,11.05
Real Time Surveillance,D.2,2019,3399977548.3897753,24645328233.617256,13.80
Real Time Surveillance,D.2,2020,6019055024.170188,24645328233.617256,24.42
Real Time Surveillance,D.2,2021,4579088368.554415,24645328233.617256,18.58
Real Time Surveillance,D.2,2022,37560332.923237726,24645328233.617256,0.15
Reporting,D.3,2014,1613955346.7223299,16237462983.918688,9.94
Reporting,D.3,2015,1439241944.5255995,16237462983.918688,8.86
Reporting,D.3,2016,1538718057.8180878,16237462983.918688,9.48
Reporting,D.3,2017,1937332419.2062106,16237462983.918688,11.93
Reporting,D.3,2018,1971661729.006462,16237462983.918688,12.14
Reporting,D.3,2019,2391411292.004988,16237462983.918688,14.73
Reporting,D.3,2020,3043470248.4324083,16237462983.918688,18.74
Reporting,D.3,2021,2267337968.914672,16237462983.918688,13.96
Reporting,D.3,2022,34333977.287928134,16237462983.918688,0.21
Risk Communication,R.5,2014,235390159.84865776,2365821351.938351,9.95
Risk Communication,R.5,2015,210915743.07189143,2365821351.938351,8.92
Risk Communication,R.5,2016,227230905.71245283,2365821351.938351,9.60
Risk Communication,R.5,2017,272155513.10551906,2365821351.938351,11.50
Risk Communication,R.5,2018,268239614.09761673,2365821351.938351,11.34
Risk Communication,R.5,2019,263531501.71647173,2365821351.938351,11.14
Risk Communication,R.5,2020,428242736.97163254,2365821351.938351,18.10
Risk Communication,R.5,2021,460115177.414109,2365821351.938351,19.45
Unspecified,Unspecified,2014,20585945262.95656,207240014274.35803,9.93
Unspecified,Unspecified,2015,19760168822.703373,207240014274.35803,9.53
Unspecified,Unspecified,2016,20381831533.17615,207240014274.35803,9.83
Unspecified,Unspecified,2017,19127421628.103775,207240014274.35803,9.23
Unspecified,Unspecified,2018,17325664648.309612,207240014274.35803,8.36
Unspecified,Unspecified,2019,20167074920.709835,207240014274.35803,9.73
Unspecified,Unspecified,2020,44294828710.311295,207240014274.35803,21.37
Unspecified,Unspecified,2021,45558397475.82635,207240014274.35803,21.98
Unspecified,Unspecified,2022,28781272.261131823,207240014274.35803,0.01
Unspecified,Unspecified,2024,6966666.666666667,207240014274.35803,0.00
Unspecified,Unspecified,2025,2933333.3333333335,207240014274.35803,0.00
Workforce Development,D.4,2014,2964841830.603097,27061875788.943607,10.96
Workforce Development,D.4,2015,2449454531.8459024,27061875788.943607,9.05
Workforce Development,D.4,2016,2576499416.497827,27061875788.943607,9.52
Workforce Development,D.4,2017,3017137497.2550745,27061875788.943607,11.15
Workforce Development,D.4,2018,3429273537.4842596,27061875788.943607,12.67
Workforce Development,D.4,2019,4404979331.392934,27061875788.943607,16.28
Workforce Development,D.4,2020,4515612864.823099,27061875788.943607,16.69
Workforce Development,D.4,2021,3701204505.9421434,27061875788.943607,13.68
Workforce Development,D.4,2022,2872273.0992716663,27061875788.943607,0.01
Zoonotic Disease,P.4,2014,519459640.3155442,8960394529.862097,5.80
Zoonotic Disease,P.4,2015,513838915.61378026,8960394529.862097,5.73
Zoonotic Disease,P.4,2016,1122961058.7358499,8960394529.862097,12.53
Zoonotic Disease,P.4,2017,916773128.683609,8960394529.862097,10.23
Zoonotic Disease,P.4,2018,1094489397.2027743,8960394529.862097,12.21
Zoonotic Disease,P.4,2019,1129976010.4858775,8960394529.862097,12.61
Zoonotic Disease,P.4,2020,1674126430.4397454,8960394529.862097,18.68
Zoonotic Disease,P.4,2021,1988007161.8432512,8960394529.862097,22.19
Zoonotic Disease,P.4,2022,762786.541666135,8960394529.862097,0.01
