"Core capacity","Core capacity code","Year","Amount disbursed for year for capacity (nominal USD)","Total disbursed post-2013 for capacity (nominal USD)","Percentage of total distributed to this capacity in year"
Chemical Events,CE,2021.0,1130281.94447482,53357100.86215369,2.12
Emergency Response Operations,R.2,1991.0,5614440.666666667,28571840793.035458,0.02
Emergency Response Operations,R.2,1993.0,20000000,28571840793.035458,0.07
Emergency Response Operations,R.2,1998.0,22646.75164525425,28571840793.035458,0.00
Emergency Response Operations,R.2,2001.0,145090.14934612706,28571840793.035458,0.00
Emergency Response Operations,R.2,2002.0,231457.66896409835,28571840793.035458,0.00
Emergency Response Operations,R.2,2003.0,7245007.817525538,28571840793.035458,0.03
Emergency Response Operations,R.2,2004.0,6604596.787399224,28571840793.035458,0.02
Emergency Response Operations,R.2,2005.0,23959154.168511562,28571840793.035458,0.08
Emergency Response Operations,R.2,2006.0,18486188.031588446,28571840793.035458,0.06
Emergency Response Operations,R.2,2007.0,69957003.06254165,28571840793.035458,0.24
Emergency Response Operations,R.2,2008.0,106192201.62251522,28571840793.035458,0.37
Emergency Response Operations,R.2,2009.0,184078878.77276492,28571840793.035458,0.64
Emergency Response Operations,R.2,2010.0,148476502.41262493,28571840793.035458,0.52
Emergency Response Operations,R.2,2011.0,219278653.40880758,28571840793.035458,0.77
Emergency Response Operations,R.2,2012.0,457404389.65963846,28571840793.035458,1.60
Emergency Response Operations,R.2,2013.0,869831355.0878079,28571840793.035458,3.04
Emergency Response Operations,R.2,2014.0,1235570420.7571313,28571840793.035458,4.32
Emergency Response Operations,R.2,2015.0,1034204159.9519596,28571840793.035458,3.62
Emergency Response Operations,R.2,2016.0,1255469178.3013792,28571840793.035458,4.39
Emergency Response Operations,R.2,2017.0,3228352692.082696,28571840793.035458,11.30
Emergency Response Operations,R.2,2018.0,3589893040.8433704,28571840793.035458,12.56
Emergency Response Operations,R.2,2019.0,3363920435.562612,28571840793.035458,11.77
Emergency Response Operations,R.2,2020.0,6153146888.831213,28571840793.035458,21.54
Emergency Response Operations,R.2,2021.0,5419928542.740566,28571840793.035458,18.97
Emergency Response Operations,R.2,2022.0,1153797415.6148498,28571840793.035458,4.04
Emergency Response Operations,R.2,2023.0,30452.281333333332,28571840793.035458,0.00
Food Safety,P.5,2004.0,207394.06306461067,3722200115.032584,0.01
Food Safety,P.5,2005.0,579798.0013114929,3722200115.032584,0.02
Food Safety,P.5,2006.0,527802.3028382104,3722200115.032584,0.01
Food Safety,P.5,2007.0,2983464.0563870356,3722200115.032584,0.08
Food Safety,P.5,2008.0,3425173.217811659,3722200115.032584,0.09
Food Safety,P.5,2009.0,6719551.859370643,3722200115.032584,0.18
Food Safety,P.5,2010.0,25188962.253823247,3722200115.032584,0.68
Food Safety,P.5,2011.0,67928224.20909034,3722200115.032584,1.82
Food Safety,P.5,2012.0,172405218.66225767,3722200115.032584,4.63
Food Safety,P.5,2013.0,362993443.956986,3722200115.032584,9.75
Food Safety,P.5,2014.0,232762011.49781805,3722200115.032584,6.25
Food Safety,P.5,2015.0,253584002.74165443,3722200115.032584,6.81
Food Safety,P.5,2016.0,556893805.837068,3722200115.032584,14.96
Food Safety,P.5,2017.0,589418496.2956917,3722200115.032584,15.84
Food Safety,P.5,2018.0,551719005.5173259,3722200115.032584,14.82
Food Safety,P.5,2019.0,357112980.5289217,3722200115.032584,9.59
Food Safety,P.5,2020.0,294636254.1026043,3722200115.032584,7.92
Food Safety,P.5,2021.0,176583318.36719573,3722200115.032584,4.74
Food Safety,P.5,2022.0,66531207.5613637,3722200115.032584,1.79
General IHR Implementation,General IHR,2002.0,142417386.66666666,3404162717.8498616,4.18
General IHR Implementation,General IHR,2003.0,171380248.8888889,3404162717.8498616,5.03
General IHR Implementation,General IHR,2004.0,188003831.1111111,3404162717.8498616,5.52
General IHR Implementation,General IHR,2005.0,188341262.2222222,3404162717.8498616,5.53
General IHR Implementation,General IHR,2006.0,189843306.66666666,3404162717.8498616,5.58
General IHR Implementation,General IHR,2007.0,207084480,3404162717.8498616,6.08
General IHR Implementation,General IHR,2008.0,222339751.1111111,3404162717.8498616,6.53
General IHR Implementation,General IHR,2009.0,210721422.2222222,3404162717.8498616,6.19
General IHR Implementation,General IHR,2010.0,200242647.00444445,3404162717.8498616,5.88
General IHR Implementation,General IHR,2011.0,210238620.86222222,3404162717.8498616,6.18
General IHR Implementation,General IHR,2012.0,194215241.8488889,3404162717.8498616,5.71
General IHR Implementation,General IHR,2013.0,202971627.71818954,3404162717.8498616,5.96
General IHR Implementation,General IHR,2014.0,203067271.85372388,3404162717.8498616,5.97
General IHR Implementation,General IHR,2015.0,169883993.01915666,3404162717.8498616,4.99
General IHR Implementation,General IHR,2016.0,170545579.41632837,3404162717.8498616,5.01
General IHR Implementation,General IHR,2017.0,173564967.90754178,3404162717.8498616,5.10
General IHR Implementation,General IHR,2018.0,184833798.27770332,3404162717.8498616,5.43
General IHR Implementation,General IHR,2019.0,174456281.0527739,3404162717.8498616,5.12
General IHR Implementation,General IHR,2020.0,11000.0,3404162717.8498616,0.00
"IHR Coordination, Communicaton and Advocacy",P.2,2006.0,933333.3333333334,31094982.532087047,3.00
"IHR Coordination, Communicaton and Advocacy",P.2,2007.0,933333.3333333334,31094982.532087047,3.00
"IHR Coordination, Communicaton and Advocacy",P.2,2008.0,933333.3333333334,31094982.532087047,3.00
"IHR Coordination, Communicaton and Advocacy",P.2,2009.0,933333.3333333334,31094982.532087047,3.00
"IHR Coordination, Communicaton and Advocacy",P.2,2010.0,933333.3333333334,31094982.532087047,3.00
"IHR Coordination, Communicaton and Advocacy",P.2,2011.0,933333.3333333334,31094982.532087047,3.00
"IHR Coordination, Communicaton and Advocacy",P.2,2012.0,933333.3333333334,31094982.532087047,3.00
"IHR Coordination, Communicaton and Advocacy",P.2,2013.0,933333.3333333334,31094982.532087047,3.00
"IHR Coordination, Communicaton and Advocacy",P.2,2014.0,1868443.3333333335,31094982.532087047,6.01
"IHR Coordination, Communicaton and Advocacy",P.2,2015.0,1752944.2779434584,31094982.532087047,5.64
"IHR Coordination, Communicaton and Advocacy",P.2,2016.0,1750386.7347587459,31094982.532087047,5.63
"IHR Coordination, Communicaton and Advocacy",P.2,2017.0,5072462.046456778,31094982.532087047,16.31
"IHR Coordination, Communicaton and Advocacy",P.2,2018.0,5366372.548439677,31094982.532087047,17.26
"IHR Coordination, Communicaton and Advocacy",P.2,2019.0,4408996.526800399,31094982.532087047,14.18
"IHR Coordination, Communicaton and Advocacy",P.2,2020.0,1888990.6555079964,31094982.532087047,6.07
"IHR Coordination, Communicaton and Advocacy",P.2,2021.0,955657.3221746633,31094982.532087047,3.07
"IHR Coordination, Communicaton and Advocacy",P.2,2022.0,564062.4200053333,31094982.532087047,1.81
Immunization,P.7,1998.0,1882960.4469538284,52728854283.094086,0.00
Immunization,P.7,1999.0,541143.7859822013,52728854283.094086,0.00
Immunization,P.7,2000.0,2716252.633085862,52728854283.094086,0.01
Immunization,P.7,2001.0,115657754.64239755,52728854283.094086,0.22
Immunization,P.7,2002.0,78313030.847752,52728854283.094086,0.15
Immunization,P.7,2003.0,129524117.17460756,52728854283.094086,0.25
Immunization,P.7,2004.0,119364482.21961096,52728854283.094086,0.23
Immunization,P.7,2005.0,333806255.1152434,52728854283.094086,0.63
Immunization,P.7,2006.0,270952060.45045304,52728854283.094086,0.51
Immunization,P.7,2007.0,632741790.625675,52728854283.094086,1.20
Immunization,P.7,2008.0,873263338.3629616,52728854283.094086,1.66
Immunization,P.7,2009.0,927981135.214659,52728854283.094086,1.76
Immunization,P.7,2010.0,1120535656.1319962,52728854283.094086,2.13
Immunization,P.7,2011.0,1388079580.3622684,52728854283.094086,2.63
Immunization,P.7,2012.0,2746129555.2578077,52728854283.094086,5.21
Immunization,P.7,2013.0,4067248147.572547,52728854283.094086,7.71
Immunization,P.7,2014.0,3496904014.5695143,52728854283.094086,6.63
Immunization,P.7,2015.0,3833453742.856815,52728854283.094086,7.27
Immunization,P.7,2016.0,4124724337.8080673,52728854283.094086,7.82
Immunization,P.7,2017.0,4395565320.227834,52728854283.094086,8.34
Immunization,P.7,2018.0,4531360592.437417,52728854283.094086,8.59
Immunization,P.7,2019.0,4929810124.996958,52728854283.094086,9.35
Immunization,P.7,2020.0,5969494253.4854965,52728854283.094086,11.32
Immunization,P.7,2021.0,4039205283.0859323,52728854283.094086,7.66
Immunization,P.7,2022.0,4599599352.782065,52728854283.094086,8.72
Linking Public Health and Security Authorities,R.3,2004.0,68064.25265450585,279819692.6408991,0.02
Linking Public Health and Security Authorities,R.3,2005.0,48846.4214977785,279819692.6408991,0.02
Linking Public Health and Security Authorities,R.3,2006.0,176311.82781115646,279819692.6408991,0.06
Linking Public Health and Security Authorities,R.3,2007.0,1225158.0701245812,279819692.6408991,0.44
Linking Public Health and Security Authorities,R.3,2008.0,891305.0678181073,279819692.6408991,0.32
Linking Public Health and Security Authorities,R.3,2009.0,230769.23076923078,279819692.6408991,0.08
Linking Public Health and Security Authorities,R.3,2010.0,3837833.732355719,279819692.6408991,1.37
Linking Public Health and Security Authorities,R.3,2011.0,6309708.236120098,279819692.6408991,2.25
Linking Public Health and Security Authorities,R.3,2012.0,9886541.703294763,279819692.6408991,3.53
Linking Public Health and Security Authorities,R.3,2013.0,17794652.504350744,279819692.6408991,6.36
Linking Public Health and Security Authorities,R.3,2014.0,22221594.534670793,279819692.6408991,7.94
Linking Public Health and Security Authorities,R.3,2015.0,16967664.980660472,279819692.6408991,6.06
Linking Public Health and Security Authorities,R.3,2016.0,21954647.528839488,279819692.6408991,7.85
Linking Public Health and Security Authorities,R.3,2017.0,25052173.838374764,279819692.6408991,8.95
Linking Public Health and Security Authorities,R.3,2018.0,22249405.731974963,279819692.6408991,7.95
Linking Public Health and Security Authorities,R.3,2019.0,47734217.40791612,279819692.6408991,17.06
Linking Public Health and Security Authorities,R.3,2020.0,38516955.661259614,279819692.6408991,13.76
Linking Public Health and Security Authorities,R.3,2021.0,36572648.16242047,279819692.6408991,13.07
Linking Public Health and Security Authorities,R.3,2022.0,6005844.523152474,279819692.6408991,2.15
Linking Public Health and Security Authorities,R.3,2023.0,2075349.2248333336,279819692.6408991,0.74
Medical Countermeasures and Personnel Deployment,R.4,2005.0,172170.88916812494,14552060115.958227,0.00
Medical Countermeasures and Personnel Deployment,R.4,2006.0,70524.7311244626,14552060115.958227,0.00
Medical Countermeasures and Personnel Deployment,R.4,2007.0,25616250.30444834,14552060115.958227,0.18
Medical Countermeasures and Personnel Deployment,R.4,2008.0,50991926.476239294,14552060115.958227,0.35
Medical Countermeasures and Personnel Deployment,R.4,2009.0,33071198.678613998,14552060115.958227,0.23
Medical Countermeasures and Personnel Deployment,R.4,2010.0,28393180.624027804,14552060115.958227,0.20
Medical Countermeasures and Personnel Deployment,R.4,2011.0,24749376.179055363,14552060115.958227,0.17
Medical Countermeasures and Personnel Deployment,R.4,2012.0,81118860.77370419,14552060115.958227,0.56
Medical Countermeasures and Personnel Deployment,R.4,2013.0,214468137.78448907,14552060115.958227,1.47
Medical Countermeasures and Personnel Deployment,R.4,2014.0,279908343.509346,14552060115.958227,1.92
Medical Countermeasures and Personnel Deployment,R.4,2015.0,179807502.87429804,14552060115.958227,1.24
Medical Countermeasures and Personnel Deployment,R.4,2016.0,371635143.0220264,14552060115.958227,2.55
Medical Countermeasures and Personnel Deployment,R.4,2017.0,1876513889.2270017,14552060115.958227,12.90
Medical Countermeasures and Personnel Deployment,R.4,2018.0,2480470800.62237,14552060115.958227,17.05
Medical Countermeasures and Personnel Deployment,R.4,2019.0,2884732627.1642103,14552060115.958227,19.82
Medical Countermeasures and Personnel Deployment,R.4,2020.0,2823738130.1652026,14552060115.958227,19.40
Medical Countermeasures and Personnel Deployment,R.4,2021.0,2123913888.8296514,14552060115.958227,14.60
Medical Countermeasures and Personnel Deployment,R.4,2022.0,1072688164.1032495,14552060115.958227,7.37
National Laboratory System,D.1,1998.0,78599.9295340439,20716997847.41421,0.00
National Laboratory System,D.1,1999.0,286731.05551722896,20716997847.41421,0.00
National Laboratory System,D.1,2000.0,262133.04805362094,20716997847.41421,0.00
National Laboratory System,D.1,2001.0,114115.3369960535,20716997847.41421,0.00
National Laboratory System,D.1,2002.0,255088.83413497114,20716997847.41421,0.00
National Laboratory System,D.1,2003.0,247775.5214716332,20716997847.41421,0.00
National Laboratory System,D.1,2004.0,2181747.7191764987,20716997847.41421,0.01
National Laboratory System,D.1,2005.0,7942179.567365386,20716997847.41421,0.04
National Laboratory System,D.1,2006.0,14629274.84165813,20716997847.41421,0.07
National Laboratory System,D.1,2007.0,120000090.81543554,20716997847.41421,0.58
National Laboratory System,D.1,2008.0,173708947.3658847,20716997847.41421,0.84
National Laboratory System,D.1,2009.0,423984276.6219754,20716997847.41421,2.05
National Laboratory System,D.1,2010.0,440827490.13201797,20716997847.41421,2.13
National Laboratory System,D.1,2011.0,467427130.9943418,20716997847.41421,2.26
National Laboratory System,D.1,2012.0,659584688.048764,20716997847.41421,3.18
National Laboratory System,D.1,2013.0,1295014093.6276472,20716997847.41421,6.25
National Laboratory System,D.1,2014.0,1306058348.3501651,20716997847.41421,6.30
National Laboratory System,D.1,2015.0,1551455302.7229652,20716997847.41421,7.49
National Laboratory System,D.1,2016.0,1564750611.4761481,20716997847.41421,7.55
National Laboratory System,D.1,2017.0,1909114003.7080455,20716997847.41421,9.22
National Laboratory System,D.1,2018.0,1741470352.4053516,20716997847.41421,8.41
National Laboratory System,D.1,2019.0,2505502873.669905,20716997847.41421,12.09
National Laboratory System,D.1,2020.0,2922801212.7749557,20716997847.41421,14.11
National Laboratory System,D.1,2021.0,2827908124.1938334,20716997847.41421,13.65
National Laboratory System,D.1,2022.0,778912869.5191981,20716997847.41421,3.76
National Laboratory System,D.1,2023.0,2479785.1336666667,20716997847.41421,0.01
"National Legislation, Policy, and Financing",P.1,1998.0,90240.78466533116,22070458372.405216,0.00
"National Legislation, Policy, and Financing",P.1,1999.0,340979.5444367791,22070458372.405216,0.00
"National Legislation, Policy, and Financing",P.1,2000.0,436097.99347800226,22070458372.405216,0.00
"National Legislation, Policy, and Financing",P.1,2001.0,1408345.4548279617,22070458372.405216,0.01
"National Legislation, Policy, and Financing",P.1,2002.0,1125141.0634358856,22070458372.405216,0.01
"National Legislation, Policy, and Financing",P.1,2003.0,2006759.3621918284,22070458372.405216,0.01
"National Legislation, Policy, and Financing",P.1,2004.0,10119201.143206965,22070458372.405216,0.05
"National Legislation, Policy, and Financing",P.1,2005.0,16817263.912343603,22070458372.405216,0.08
"National Legislation, Policy, and Financing",P.1,2006.0,43400035.3250999,22070458372.405216,0.20
"National Legislation, Policy, and Financing",P.1,2007.0,214499159.49102005,22070458372.405216,0.97
"National Legislation, Policy, and Financing",P.1,2008.0,263777092.97366533,22070458372.405216,1.20
"National Legislation, Policy, and Financing",P.1,2009.0,644214610.9589411,22070458372.405216,2.92
"National Legislation, Policy, and Financing",P.1,2010.0,689379213.0932002,22070458372.405216,3.12
"National Legislation, Policy, and Financing",P.1,2011.0,842923555.6247736,22070458372.405216,3.82
"National Legislation, Policy, and Financing",P.1,2012.0,1098503283.6653357,22070458372.405216,4.98
"National Legislation, Policy, and Financing",P.1,2013.0,1945785306.275361,22070458372.405216,8.82
"National Legislation, Policy, and Financing",P.1,2014.0,1691249443.905953,22070458372.405216,7.66
"National Legislation, Policy, and Financing",P.1,2015.0,2238584710.093049,22070458372.405216,10.14
"National Legislation, Policy, and Financing",P.1,2016.0,1897294867.939905,22070458372.405216,8.60
"National Legislation, Policy, and Financing",P.1,2017.0,1863829169.4758573,22070458372.405216,8.44
"National Legislation, Policy, and Financing",P.1,2018.0,1808809608.8513994,22070458372.405216,8.20
"National Legislation, Policy, and Financing",P.1,2019.0,2550777922.3588443,22070458372.405216,11.56
"National Legislation, Policy, and Financing",P.1,2020.0,2180065028.8699727,22070458372.405216,9.88
"National Legislation, Policy, and Financing",P.1,2021.0,1618659822.5962203,22070458372.405216,7.33
"National Legislation, Policy, and Financing",P.1,2022.0,439828426.24752855,22070458372.405216,1.99
"National Legislation, Policy, and Financing",P.1,2023.0,4492436.812761966,22070458372.405216,0.02
"National Legislation, Policy, and Financing",P.1,2024.0,1020324.2938671666,22070458372.405216,0.00
"National Legislation, Policy, and Financing",P.1,2025.0,1020324.2938671666,22070458372.405216,0.00
Point of Entry (PoE),PoE,2001.0,35677511,3170815910.6982274,1.13
Point of Entry (PoE),PoE,2002.0,36598263.83,3170815910.6982274,1.15
Point of Entry (PoE),PoE,2003.0,47992423.63475485,3170815910.6982274,1.51
Point of Entry (PoE),PoE,2004.0,38583960.167325035,3170815910.6982274,1.22
Point of Entry (PoE),PoE,2005.0,77572508.3183407,3170815910.6982274,2.45
Point of Entry (PoE),PoE,2006.0,65409552.30670223,3170815910.6982274,2.06
Point of Entry (PoE),PoE,2007.0,77422361.07973686,3170815910.6982274,2.44
Point of Entry (PoE),PoE,2008.0,25718057.330193505,3170815910.6982274,0.81
Point of Entry (PoE),PoE,2009.0,60967663.460414566,3170815910.6982274,1.92
Point of Entry (PoE),PoE,2010.0,35854909.69473499,3170815910.6982274,1.13
Point of Entry (PoE),PoE,2011.0,80033377.62224308,3170815910.6982274,2.52
Point of Entry (PoE),PoE,2012.0,89745662.10583603,3170815910.6982274,2.83
Point of Entry (PoE),PoE,2013.0,123093539.96227007,3170815910.6982274,3.88
Point of Entry (PoE),PoE,2014.0,133766550.23770456,3170815910.6982274,4.22
Point of Entry (PoE),PoE,2015.0,160019619.2117725,3170815910.6982274,5.05
Point of Entry (PoE),PoE,2016.0,174762845.36550125,3170815910.6982274,5.51
Point of Entry (PoE),PoE,2017.0,235351424.83527488,3170815910.6982274,7.42
Point of Entry (PoE),PoE,2018.0,309606092.61505914,3170815910.6982274,9.76
Point of Entry (PoE),PoE,2019.0,399643883.4565396,3170815910.6982274,12.60
Point of Entry (PoE),PoE,2020.0,410292807.2052916,3170815910.6982274,12.94
Point of Entry (PoE),PoE,2021.0,456483099.8920048,3170815910.6982274,14.40
Point of Entry (PoE),PoE,2022.0,95197283.26486103,3170815910.6982274,3.00
Point of Entry (PoE),PoE,2023.0,1022514.1016666666,3170815910.6982274,0.03
Preparedness,R.1,1992.0,0.0,8502808632.136294,0.00
Preparedness,R.1,2000.0,272907.88812959846,8502808632.136294,0.00
Preparedness,R.1,2001.0,529707.2906851051,8502808632.136294,0.01
Preparedness,R.1,2004.0,2481426.992469132,8502808632.136294,0.03
Preparedness,R.1,2005.0,3464670.6260405993,8502808632.136294,0.04
Preparedness,R.1,2006.0,34866506.38272503,8502808632.136294,0.41
Preparedness,R.1,2007.0,75723015.9335797,8502808632.136294,0.89
Preparedness,R.1,2008.0,19201183.411139943,8502808632.136294,0.23
Preparedness,R.1,2009.0,23984600.03962879,8502808632.136294,0.28
Preparedness,R.1,2010.0,45905308.10553662,8502808632.136294,0.54
Preparedness,R.1,2011.0,63491820.96990079,8502808632.136294,0.75
Preparedness,R.1,2012.0,94021679.85276619,8502808632.136294,1.11
Preparedness,R.1,2013.0,215397009.1960575,8502808632.136294,2.53
Preparedness,R.1,2014.0,334080117.3652102,8502808632.136294,3.93
Preparedness,R.1,2015.0,267182355.84569,8502808632.136294,3.14
Preparedness,R.1,2016.0,402368893.9931311,8502808632.136294,4.73
Preparedness,R.1,2017.0,462075821.6263149,8502808632.136294,5.43
Preparedness,R.1,2018.0,485093562.10243493,8502808632.136294,5.71
Preparedness,R.1,2019.0,622746345.949849,8502808632.136294,7.32
Preparedness,R.1,2020.0,2744475741.230841,8502808632.136294,32.28
Preparedness,R.1,2021.0,2376435028.658444,8502808632.136294,27.95
Preparedness,R.1,2022.0,228043412.4442225,8502808632.136294,2.68
Preparedness,R.1,2023.0,967516.2315000001,8502808632.136294,0.01
Radiation Emergencies,RE,1999.0,23737.88170364185,63329178.5726339,0.04
Radiation Emergencies,RE,2007.0,154208.019552469,63329178.5726339,0.24
Radiation Emergencies,RE,2008.0,24100.083587645095,63329178.5726339,0.04
Radiation Emergencies,RE,2010.0,637263.3835622235,63329178.5726339,1.01
Radiation Emergencies,RE,2011.0,2602938.9116729433,63329178.5726339,4.11
Radiation Emergencies,RE,2012.0,5180027.496000735,63329178.5726339,8.18
Radiation Emergencies,RE,2013.0,1893188.2585428255,63329178.5726339,2.99
Radiation Emergencies,RE,2014.0,7099794.426012852,63329178.5726339,11.21
Radiation Emergencies,RE,2015.0,3659930.253633571,63329178.5726339,5.78
Radiation Emergencies,RE,2016.0,5663597.550714207,63329178.5726339,8.94
Radiation Emergencies,RE,2017.0,2867587.837921015,63329178.5726339,4.53
Radiation Emergencies,RE,2018.0,3251510.813043075,63329178.5726339,5.13
Radiation Emergencies,RE,2019.0,3211830.8398691663,63329178.5726339,5.07
Radiation Emergencies,RE,2020.0,8549597.09711934,63329178.5726339,13.50
Radiation Emergencies,RE,2021.0,9671883.988392176,63329178.5726339,15.27
Radiation Emergencies,RE,2022.0,4113153.1119149043,63329178.5726339,6.49
Radiation Emergencies,RE,2023.0,2684180.0316567663,63329178.5726339,4.24
Radiation Emergencies,RE,2024.0,1020324.2938671666,63329178.5726339,1.61
Radiation Emergencies,RE,2025.0,1020324.2938671666,63329178.5726339,1.61
Real Time Surveillance,D.2,1998.0,8179.08419423435,26143538961.63631,0.00
Real Time Surveillance,D.2,1999.0,19244.0361642642,26143538961.63631,0.00
Real Time Surveillance,D.2,2000.0,45272.14374604285,26143538961.63631,0.00
Real Time Surveillance,D.2,2001.0,212097.51690998866,26143538961.63631,0.00
Real Time Surveillance,D.2,2002.0,400386.1243998066,26143538961.63631,0.00
Real Time Surveillance,D.2,2003.0,2206261.5902754427,26143538961.63631,0.01
Real Time Surveillance,D.2,2004.0,10363801.611046154,26143538961.63631,0.04
Real Time Surveillance,D.2,2005.0,24690197.1954623,26143538961.63631,0.09
Real Time Surveillance,D.2,2006.0,49589998.923471905,26143538961.63631,0.19
Real Time Surveillance,D.2,2007.0,88105661.41010362,26143538961.63631,0.34
Real Time Surveillance,D.2,2008.0,98444519.27545539,26143538961.63631,0.38
Real Time Surveillance,D.2,2009.0,173945088.79393932,26143538961.63631,0.67
Real Time Surveillance,D.2,2010.0,627911762.667752,26143538961.63631,2.40
Real Time Surveillance,D.2,2011.0,578047599.5866424,26143538961.63631,2.21
Real Time Surveillance,D.2,2012.0,865031490.1773503,26143538961.63631,3.31
Real Time Surveillance,D.2,2013.0,1893814273.585401,26143538961.63631,7.24
Real Time Surveillance,D.2,2014.0,1522552759.3283615,26143538961.63631,5.82
Real Time Surveillance,D.2,2015.0,1828985963.9969041,26143538961.63631,7.00
Real Time Surveillance,D.2,2016.0,2267177650.154096,26143538961.63631,8.67
Real Time Surveillance,D.2,2017.0,2305252260.600426,26143538961.63631,8.82
Real Time Surveillance,D.2,2018.0,2344762031.933402,26143538961.63631,8.97
Real Time Surveillance,D.2,2019.0,2933770262.630561,26143538961.63631,11.22
Real Time Surveillance,D.2,2020.0,3577193702.529994,26143538961.63631,13.68
Real Time Surveillance,D.2,2021.0,3758587484.859508,26143538961.63631,14.38
Real Time Surveillance,D.2,2022.0,1190735705.6257522,26143538961.63631,4.55
Real Time Surveillance,D.2,2023.0,1494306.255,26143538961.63631,0.01
Real Time Surveillance,D.2,2024.0,191000.0,26143538961.63631,0.00
Reporting,D.3,1998.0,25568.068855305748,29787093524.138954,0.00
Reporting,D.3,1999.0,30108.92850659015,29787093524.138954,0.00
Reporting,D.3,2000.0,19805.525838918853,29787093524.138954,0.00
